,0,1,2,3,4,5,6,7,8,9,10,11
"('Q85', 'Q86')",2408012004247238469,2408012004598520283,2408012005419990887,2408012006246285047,2408012006584744506,2408012007410274566,2408012008235290760,2408012008576402078,2408012009400313555,2408012010226560129,2408012010565304794,2408012011388704041
"('Q89', 'Q90')",2408012004249592395,2408012005000895563,2408012005422394111,2408012006248627293,2408012006587148420,2408012007412668320,2408012008237651800,2408012008578778918,2408012009402704814,2408012010228948366,2408012010567669076,2408012011391047971
"('Q92', 'Q93')",2408012004252006075,2408012005016196932,2408012005424778271,2408012006251014616,2408012006589546942,2408012007415068494,2408012008240005639,2408012008581132331,2408012009405322498,2408012010231353750,2408012010569998831,2408012011393462664
"('Q96', 'Q97')",2408012004254350918,2408012005027026961,2408012005427113141,2408012006253356982,2408012006591926013,2408012007417455655,2408012008242381420,2408012008583478303,2408012009407740976,2408012010233738012,2408012010572391197,2408012011395865312
"('Q107', 'Q108')",2408012004256698645,2408012005039566753,2408012005429489711,2408012006255749455,2408012006594346032,2408012007419875830,2408012008244740692,2408012008585860162,2408012009410131366,2408012010236109859,2408012010574754651,2408012011398238687
"('Q115', 'Q116')",2408012004259094308,2408012005052474454,2408012005431866832,2408012006258121753,2408012006597158971,2408012007422271805,2408012008247123330,2408012008588275170,2408012009412484630,2408012010238468424,2408012010577156935,2408012011400648553
"('Q122', 'Q123')",2408012004261586720,2408012005056594412,2408012005434376382,2408012006260474498,2408012006599533598,2408012007424692488,2408012008249494878,2408012008590632479,2408012009414849110,2408012010240878543,2408012010579511000,2408012011403042915
"('Q126', 'Q127')",2408012004263978255,2408012005073079236,2408012005436871636,2408012006262866672,2408012007001868963,2408012007427076689,2408012008251980356,2408012008593011643,2408012009417263753,2408012010243258214,2408012010581912523,2408012011405410908
"('Q137', 'Q138')",2408012004266393478,2408012005097679073,2408012005439260331,2408012006265229692,2408012007020773395,2408012007429668980,2408012008254284008,2408012008595414424,2408012009419638214,2408012010245615845,2408012010584285289,2408012011407708004
"('Q144', 'Q145')",2408012004268804862,2408012005102880006,2408012005441629305,2408012006267590425,2408012007036648863,2408012007432044395,2408012008256716016,2408012008597763358,2408012009422017430,2408012010248005718,2408012010586667542,2408012011410085467
"('Q148', 'Q149')",2408012004271155520,2408012005105273567,2408012005444016109,2408012006270039554,2408012007056235404,2408012007434481876,2408012008259082564,2408012009000156199,2408012009424424378,2408012010250416214,2408012010589050704,2408012011412512624
"('Q152', 'Q153')",2408012004273536245,2408012005107629852,2408012005446382770,2408012006272590255,2408012007074432975,2408012007436855821,2408012008261441790,2408012009016464941,2408012009426806894,2408012010252835262,2408012010591420496,2408012011414902240
"('Q2', 'Q15')",2408012004275921114,2408012005110015696,2408012005448761529,2408012006274941035,2408012007090379159,2408012007439258025,2408012008263846366,2408012009028322854,2408012009429193813,2408012010255234296,2408012010593846435,2408012011417296737
"('Q10', 'Q23')",2408012004278304461,2408012005112393458,2408012005451111737,2408012006277344056,2408012007102753697,2408012007441656829,2408012008266207884,2408012009051628888,2408012009431544223,2408012010257593884,2408012010596267142,2408012011419670313
"('Q13', 'Q26')",2408012004280711695,2408012005114767941,2408012005453486495,2408012006279717204,2408012007105160147,2408012007444058973,2408012008268583012,2408012009055710088,2408012009433894928,2408012010259983585,2408012010598686265,2408012011422079815
"('Q17', 'Q30')",2408012004283094140,2408012005117149979,2408012005455879590,2408012006282153720,2408012007107565808,2408012007446431006,2408012008270934053,2408012009071454826,2408012009436310727,2408012010262380914,2408012011001055302,2408012011424475421
"('Q21', 'Q34')",2408012004285448435,2408012005119524388,2408012005458293303,2408012006284505473,2408012007109917190,2408012007448803129,2408012008273334099,2408012009095647721,2408012009438679453,2408012010264742178,2408012011021973044,2408012011426805804
"('Q25', 'Q38')",2408012004287870107,2408012005121878300,2408012005460692093,2408012006286876103,2408012007112304128,2408012007451143120,2408012008275712303,2408012009101838275,2408012009441105115,2408012010267113702,2408012011044835252,2408012011429187701
"('Q28', 'Q41')",2408012004290251381,2408012005124280981,2408012005463066366,2408012006289237965,2408012007114690752,2408012007453501098,2408012008278075650,2408012009104214122,2408012009443507811,2408012010269515588,2408012011054908079,2408012011431630030
"('Q32', 'Q45')",2408012004292611162,2408012005126679092,2408012005465446611,2408012006291566283,2408012007117091128,2408012007455903511,2408012008280447243,2408012009106574656,2408012009445906962,2408012010271842586,2408012011068860383,2408012011434014258
"('Q36', 'Q49')",2408012004295028503,2408012005129033110,2408012005467766989,2408012006293909649,2408012007119490705,2408012007458262850,2408012008282832192,2408012009108971272,2408012009448286999,2408012010274230494,2408012011090118477,2408012011436434487
"('Q39', 'Q52')",2408012004297398416,2408012005131470434,2408012005470148429,2408012006296296576,2408012007121849805,2408012007460699496,2408012008285216942,2408012009111308941,2408012009450680508,2408012010276596659,2408012011100029465,2408012011438855832
"('Q43', 'Q56')",2408012004299920958,2408012005133836518,2408012005472533518,2408012006298705711,2408012007124229005,2408012007463084426,2408012008287588154,2408012009113709165,2408012009453063477,2408012010278941425,2408012011102420417,2408012011441233493
"('Q47', 'Q60')",2408012004302318288,2408012005136204958,2408012005474914363,2408012006301120564,2408012007126613554,2408012007465467078,2408012008289965833,2408012009116120506,2408012009455429030,2408012010281318110,2408012011104789692,2408012011443568341
"('Q54', 'Q67')",2408012004304722838,2408012005138609626,2408012005477321140,2408012006303513082,2408012007128991712,2408012007467850464,2408012008292312540,2408012009118508829,2408012009457782655,2408012010283702161,2408012011107127750,2408012011445925632
"('Q58', 'Q71')",2408012004307262949,2408012005140959878,2408012005479677036,2408012006305912489,2408012007131407377,2408012007470222266,2408012008294720029,2408012009120904603,2408012009460120164,2408012010286101999,2408012011109536937,2408012011448341752
"('Q62', 'Q75')",2408012004309709589,2408012005143326782,2408012005482166685,2408012006308312821,2408012007133744921,2408012007472617175,2408012008297131266,2408012009123264532,2408012009462502095,2408012010288497911,2408012011111933943,2408012011450733038
"('Q65', 'Q78')",2408012004312148847,2408012005145696974,2408012005484531678,2408012006310697390,2408012007136130766,2408012007475003757,2408012008299464436,2408012009125702039,2408012009464991433,2408012010290902489,2408012011114289927,2408012011453077260
"('Q69', 'Q82')",2408012004314554921,2408012005148042923,2408012005486912301,2408012006313127705,2408012007138520916,2408012007477415563,2408012008301838966,2408012009128037091,2408012009467433464,2408012010293249429,2408012011116700726,2408012011455463611
"('Q73', 'Q86')",2408012004316968105,2408012005150394765,2408012005489248907,2408012006315507016,2408012007140884156,2408012007479782996,2408012008304174861,2408012009130390514,2408012009469781064,2408012010295615203,2408012011119095892,2408012011457856515
"('Q77', 'Q90')",2408012004319349049,2408012005152741815,2408012005491629189,2408012006317847384,2408012007143262046,2408012007482184267,2408012008306593928,2408012009132775674,2408012009472150092,2408012010297982860,2408012011121476075,2408012011460266525
